District,state,Population,Growth,Sex-Ratio,Literacy
Thane,Maharashtra,"1,10,60,148",36.01%,886,84.53
North Twenty Four Parganas,West Bengal,"1,00,09,781",12.04%,955,84.06
Bangalore,Karnataka,"96,21,551",47.18%,916,87.67
Pune,Maharashtra,"94,29,408",30.37%,915,86.15
Mumbai Suburban,Maharashtra,"93,56,962",8.29%,860,89.91
South Twenty Four Parganas,West Bengal,"81,61,961",18.17%,956,77.51
Barddhaman,West Bengal,"77,17,563",11.92%,945,76.21
Ahmadabad,Gujarat,"72,14,225",24.03%,904,85.31
Murshidabad,West Bengal,"71,03,807",21.09%,958,66.59
Jaipur,Rajasthan,"66,26,178",26.19%,910,75.51
Nashik,Maharashtra,"61,07,187",22.30%,934,82.31
Surat,Gujarat,"60,81,322",42.24%,787,85.53
Allahabad,Uttar Pradesh,"59,54,391",20.63%,901,72.32
Paschim Medinipur,West Bengal,"59,13,457",13.86%,966,78
Patna,Bihar,"58,38,465",23.73%,897,70.68
Hugli,West Bengal,"55,19,145",9.46%,961,81.8
Rangareddy,Andhra Pradesh,"52,96,741",48.16%,961,75.87
Nadia,West Bengal,"51,67,600",12.22%,947,74.97
East Godavari,Andhra Pradesh,"51,54,296",5.16%,1006,70.99
Purbi Champaran,Bihar,"50,99,371",29.43%,902,55.79
Purba Medinipur,West Bengal,"50,95,875",15.36%,938,87.02
Guntur,Andhra Pradesh,"48,87,813",9.47%,1003,67.4
Haora,West Bengal,"48,50,029",13.50%,939,83.31
Muzaffarpur,Bihar,"48,01,062",28.14%,900,63.43
Belgaum,Karnataka,"47,79,661",13.41%,973,73.48
Moradabad,Uttar Pradesh,"47,72,006",25.22%,906,56.77
Ghaziabad,Uttar Pradesh,"46,81,645",42.27%,881,78.07
Nagpur,Maharashtra,"46,53,570",14.40%,951,88.39
Chennai,Tamil Nadu,"46,46,732",6.98%,989,90.18
Azamgarh,Uttar Pradesh,"46,13,913",17.11%,1019,70.93
Lucknow,Uttar Pradesh,"45,89,838",25.82%,917,77.29
Kanpur Nagar,Uttar Pradesh,"45,81,268",9.92%,862,79.65
Ahmadnagar,Maharashtra,"45,43,159",12.44%,939,79.05
Krishna,Andhra Pradesh,"45,17,398",7.87%,992,73.74
Kolkata,West Bengal,"44,96,694",-1.67%,908,86.31
Jaunpur,Uttar Pradesh,"44,94,204",14.89%,1024,71.55
Madhubani,Bihar,"44,87,379",25.51%,926,58.62
Sitapur,Uttar Pradesh,"44,83,992",23.88%,888,61.12
Bareilly,Uttar Pradesh,"44,48,359",22.93%,887,58.49
Gorakhpur,Uttar Pradesh,"44,40,895",17.81%,950,70.83
Agra,Uttar Pradesh,"44,18,797",22.05%,868,71.58
Gaya,Bihar,"43,91,418",26.43%,937,63.67
Solapur,Maharashtra,"43,17,756",12.16%,938,77.02
Visakhapatnam,Andhra Pradesh,"42,90,589",11.96%,1006,66.91
Samastipur,Bihar,"42,61,566",25.53%,911,61.86
Jalgaon,Maharashtra,"42,29,917",14.86%,925,78.2
Chittoor,Andhra Pradesh,"41,74,064",11.43%,997,71.53
Vadodara,Gujarat,"41,65,626",14.38%,934,78.92
Muzaffarnagar,Uttar Pradesh,"41,43,512",16.94%,889,69.12
Malappuram,Kerala,"41,12,920",13.45%,1098,93.57
Hardoi,Uttar Pradesh,"40,92,845",20.44%,868,64.57
Anantapur,Andhra Pradesh,"40,81,148",12.10%,977,63.57
Raipur,Chhattisgarh,"40,63,872",34.70%,984,75.56
Kurnool,Andhra Pradesh,"40,53,463",14.85%,988,59.97
Mahbubnagar,Andhra Pradesh,"40,53,028",15.34%,977,55.04
Kheri,Uttar Pradesh,"40,21,243",25.38%,894,60.56
Kancheepuram,Tamil Nadu,"39,98,252",38.95%,986,84.49
Maldah,West Bengal,"39,88,845",21.22%,944,61.73
Saran,Bihar,"39,51,862",21.64%,954,65.96
Hyderabad,Andhra Pradesh,"39,43,323",2.97%,954,83.25
Darbhanga,Bihar,"39,37,385",19.47%,911,56.56
West Godavari,Andhra Pradesh,"39,36,966",3.51%,1004,74.63
Vellore,Tamil Nadu,"39,36,331",13.20%,1007,79.17
Pashchim Champaran,Bihar,"39,35,042",29.29%,909,55.7
Kolhapur,Maharashtra,"38,76,001",10.01%,957,81.51
Jalpaiguri,West Bengal,"38,72,846",13.87%,953,73.25
Rajkot,Gujarat,"38,04,558",20.02%,927,80.96
Sultanpur,Uttar Pradesh,"37,97,117",18.11%,983,69.27
Karimnagar,Andhra Pradesh,"37,76,269",8.15%,1008,64.15
Thiruvallur,Tamil Nadu,"37,28,104",35.33%,987,84.03
Aurangabad,Maharashtra,"37,01,282",27.76%,923,79.02
Jodhpur,Rajasthan,"36,87,165",27.74%,916,65.94
Bijnor,Uttar Pradesh,"36,82,713",17.60%,917,68.48
Budaun,Uttar Pradesh,"36,81,896",19.95%,871,51.29
Varanasi,Uttar Pradesh,"36,76,841",17.15%,913,75.6
Alwar,Rajasthan,"36,74,179",22.78%,895,70.72
Aligarh,Uttar Pradesh,"36,73,889",22.78%,882,67.52
North West Delhi,Delhi,"36,56,539",27.81%,865,84.45
Ghazipur,Uttar Pradesh,"36,20,268",19.18%,952,71.78
Bankura,West Bengal,"35,96,674",12.65%,957,70.26
Kushinagar,Uttar Pradesh,"35,64,544",23.20%,961,65.25
Ganjam,Orissa,"35,29,031",11.66%,983,71.09
Warangal,Andhra Pradesh,"35,12,576",8.21%,997,65.11
Birbhum,West Bengal,"35,02,404",16.15%,956,70.68
Bulandshahar,Uttar Pradesh,"34,99,171",20.12%,896,68.88
Ludhiana,Punjab,"34,98,739",15.36%,873,82.2
Vaishali,Bihar,"34,95,021",28.57%,895,66.6
Nalgonda,Andhra Pradesh,"34,88,809",7.41%,983,64.2
Bahraich,Uttar Pradesh,"34,87,731",46.48%,892,49.36
Salem,Tamil Nadu,"34,82,056",15.44%,954,72.86
Saharanpur,Uttar Pradesh,"34,66,382",19.66%,890,70.49
Viluppuram,Tamil Nadu,"34,58,873",16.84%,987,71.88
Coimbatore,Tamil Nadu,"34,58,045",18.56%,1000,83.98
Meerut,Uttar Pradesh,"34,43,689",14.89%,886,72.84
Gonda,Uttar Pradesh,"34,33,919",24.17%,921,58.71
Sitamarhi,Bihar,"34,23,574",27.62%,899,52.05
Rae Bareli,Uttar Pradesh,"34,05,559",18.56%,943,67.25
Prakasam,Andhra Pradesh,"33,97,448",11.05%,981,63.08
Nanded,Maharashtra,"33,61,292",16.86%,943,75.45
Durg,Chhattisgarh,"33,43,872",18.98%,988,79.06
Siwan,Bihar,"33,30,464",22.70%,988,69.45
Nagaur,Rajasthan,"33,07,743",19.20%,950,62.8
